customerID,gender,Is_Senior,Has_Partner,Has_Dependents,tenure,Tenure_Band,Tenure_Band_Sort,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Charge_Tier,Charge_Tier_Sort,TotalCharges,Annual_Value,Churn,Churn_Flag,Churn_Risk_Score,Risk_Category,Revenue_At_Risk
CUST0014,Female,No,Yes,Yes,48,25-48 Months,3,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,111.32,Premium (£85+),4,5343.36,1335.84,No,0,,Low Risk,0.0
CUST0015,Male,No,No,Yes,8,0-12 Months,1,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer,60.44,Medium (£35-65),2,483.52,725.28,No,0,,Low Risk,0.0
CUST0016,Female,Yes,No,No,10,0-12 Months,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,65.25,High (£65-85),3,652.5,783.0,No,0,,Low Risk,0.0
CUST0017,Female,No,No,No,5,0-12 Months,1,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,98.31,Premium (£85+),4,491.55,1179.72,No,0,33.7,Low Risk,0.0
CUST0018,Female,No,No,Yes,48,25-48 Months,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,84.4,High (£65-85),3,4051.2,1012.8,No,0,26.3,Low Risk,0.0
CUST0019,Male,No,No,Yes,26,25-48 Months,3,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,63.75,Medium (£35-65),2,1657.5,765.0,No,0,15.8,Low Risk,0.0
CUST0020,Female,Yes,No,No,23,13-24 Months,2,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card,45.96,Medium (£35-65),2,1057.08,551.52,No,0,,Low Risk,0.0
CUST0021,Male,Yes,No,Yes,62,49+ Months,4,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,71.69,High (£65-85),3,4444.78,860.28,No,0,26.3,Low Risk,0.0
CUST0022,Female,Yes,Yes,No,13,13-24 Months,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,77.92,High (£65-85),3,1012.96,935.04,No,0,,Low Risk,0.0
CUST0023,Female,No,Yes,No,9,0-12 Months,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,83.09,High (£65-85),3,747.81,997.08,No,0,,Low Risk,0.0
CUST0024,Female,Yes,No,Yes,20,13-24 Months,2,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Credit card,80.51,High (£65-85),3,1610.2,966.12,No,0,,Low Risk,0.0
CUST0025,Female,No,No,No,57,49+ Months,4,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Mailed check,81.73,High (£65-85),3,4658.61,980.76,No,0,12.6,Low Risk,0.0
CUST0026,Female,No,No,No,24,13-24 Months,2,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card,67.57,High (£65-85),3,1621.68,810.84,Yes,1,,Low Risk,0.0
CUST0027,Female,Yes,Yes,No,33,25-48 Months,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,76.19,High (£65-85),3,2514.27,914.28,No,0,,Low Risk,0.0
CUST0028,Female,No,Yes,Yes,20,13-24 Months,2,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,48.86,Medium (£35-65),2,977.2,586.32,No,0,,Low Risk,0.0
CUST0029,Female,No,No,Yes,60,49+ Months,4,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,35.84,Medium (£35-65),2,2150.4,430.08,No,0,,Low Risk,0.0
CUST0030,Male,No,Yes,Yes,48,25-48 Months,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,80.69,High (£65-85),3,3873.12,968.28,No,0,5.3,Low Risk,0.0
CUST0031,Male,Yes,No,No,64,49+ Months,4,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer,24.7,Low (< £35),1,1580.8,296.4,No,0,,Low Risk,0.0
CUST0032,Female,No,No,Yes,30,25-48 Months,3,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer,26.52,Low (< £35),1,795.6,318.24,No,0,,Low Risk,0.0
CUST0033,Female,No,No,Yes,17,13-24 Months,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,44.73,Medium (£35-65),2,760.41,536.76,No,0,81.1,High Risk,44.73
CUST0034,Female,Yes,No,Yes,14,13-24 Months,2,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,39.43,Medium (£35-65),2,552.02,473.16,Yes,1,61.1,Medium Risk,0.0
CUST0035,Male,No,No,No,19,13-24 Months,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,57.41,Medium (£35-65),2,1090.79,688.92,No,0,10.5,Low Risk,0.0
CUST0036,Female,No,No,No,71,49+ Months,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,57.13,Medium (£35-65),2,4056.23,685.56,No,0,,Low Risk,0.0
CUST0037,Male,Yes,No,Yes,59,49+ Months,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,31.69,Low (< £35),1,1869.71,380.28,No,0,8.4,Low Risk,0.0
CUST0038,Male,No,Yes,Yes,67,49+ Months,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,44.65,Medium (£35-65),2,2991.55,535.8,No,0,0.0,Low Risk,0.0
CUST0039,Male,No,No,Yes,44,25-48 Months,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.46,Low (< £35),1,900.24,245.52,No,0,36.8,Low Risk,0.0
CUST0040,Male,No,Yes,No,32,25-48 Months,3,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Mailed check,55.1,Medium (£35-65),2,1763.2,661.2,No,0,21.1,Low Risk,0.0
CUST0041,Male,No,No,Yes,11,0-12 Months,1,No,No phone service,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,99.64,Premium (£85+),4,1096.04,1195.68,No,0,,Low Risk,0.0
CUST0042,Female,No,No,No,2,0-12 Months,1,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,46.62,Medium (£35-65),2,93.24,559.44,Yes,1,81.1,High Risk,46.62
CUST0043,Female,Yes,Yes,No,68,49+ Months,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,84.33,High (£65-85),3,5734.44,1011.96,Yes,1,,Low Risk,0.0
CUST0044,Female,Yes,Yes,No,17,13-24 Months,2,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,29.83,Low (< £35),1,507.11,357.96,Yes,1,89.5,High Risk,29.83
CUST0045,Female,Yes,No,Yes,40,25-48 Months,3,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,21.23,Low (< £35),1,849.2,254.76,No,0,24.2,Low Risk,0.0
CUST0046,Female,Yes,Yes,Yes,46,25-48 Months,3,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card,69.84,High (£65-85),3,3212.64,838.08,No,0,,Low Risk,0.0
CUST0047,Male,No,No,No,4,0-12 Months,1,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Mailed check,66.15,High (£65-85),3,264.6,793.8,No,0,36.8,Low Risk,0.0
CUST0048,Female,No,No,No,38,25-48 Months,3,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,39.15,Medium (£35-65),2,1487.7,469.8,Yes,1,52.6,Medium Risk,0.0
CUST0049,Female,No,Yes,No,63,49+ Months,4,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card,48.66,Medium (£35-65),2,3065.58,583.92,No,0,,Low Risk,0.0
CUST0050,Male,No,Yes,No,29,25-48 Months,3,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,23.07,Low (< £35),1,669.03,276.84,No,0,17.9,Low Risk,0.0
CUST0051,Female,No,Yes,Yes,19,13-24 Months,2,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,99.78,Premium (£85+),4,1895.82,1197.36,No,0,15.8,Low Risk,0.0
CUST0052,Male,Yes,Yes,Yes,29,25-48 Months,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,50.13,Medium (£35-65),2,1453.77,601.56,No,0,,Low Risk,0.0
CUST0053,Female,Yes,No,No,35,25-48 Months,3,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,41.95,Medium (£35-65),2,1468.25,503.4,Yes,1,31.6,Low Risk,0.0
CUST0054,Male,No,Yes,No,70,49+ Months,4,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,100.47,Premium (£85+),4,7032.9,1205.64,No,0,10.5,Low Risk,0.0
CUST0055,Female,No,Yes,No,23,13-24 Months,2,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,23.93,Low (< £35),1,550.39,287.16,Yes,1,38.9,Low Risk,0.0
CUST0056,Female,No,Yes,Yes,46,25-48 Months,3,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer,48.45,Medium (£35-65),2,2228.7,581.4,No,0,,Low Risk,0.0
CUST0057,Male,Yes,Yes,No,44,25-48 Months,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,46.28,Medium (£35-65),2,2036.32,555.36,No,0,45.3,Medium Risk,0.0
CUST0058,Male,No,Yes,Yes,48,25-48 Months,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,46.3,Medium (£35-65),2,2222.4,555.6,No,0,5.3,Low Risk,0.0
CUST0059,Male,No,No,No,52,49+ Months,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.15,Low (< £35),1,1099.8,253.8,No,0,0.0,Low Risk,0.0
CUST0060,Male,No,No,Yes,8,0-12 Months,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,113.47,Premium (£85+),4,907.76,1361.64,No,0,36.8,Low Risk,0.0
CUST0061,Male,Yes,Yes,Yes,55,49+ Months,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,106.41,Premium (£85+),4,5852.55,1276.92,No,0,45.3,Medium Risk,0.0
CUST0062,Male,No,Yes,No,66,49+ Months,4,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,61.45,Medium (£35-65),2,4055.7,737.4,Yes,1,,Low Risk,0.0
CUST0063,Male,Yes,No,Yes,40,25-48 Months,3,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card,64.54,Medium (£35-65),2,2581.6,774.48,No,0,,Low Risk,0.0
CUST0064,Male,Yes,Yes,Yes,31,25-48 Months,3,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Electronic check,72.42,High (£65-85),3,2245.02,869.04,No,0,24.2,Low Risk,0.0
CUST0065,Female,Yes,No,Yes,48,25-48 Months,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,67.83,High (£65-85),3,3255.84,813.96,No,0,,Low Risk,0.0
CUST0066,Female,Yes,No,Yes,61,49+ Months,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,97.91,Premium (£85+),4,5972.51,1174.92,No,0,18.9,Low Risk,0.0
CUST0067,Male,Yes,Yes,No,52,49+ Months,4,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,68.84,High (£65-85),3,3579.68,826.08,No,0,18.9,Low Risk,0.0
CUST0068,Female,Yes,No,No,38,25-48 Months,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,38.88,Medium (£35-65),2,1477.44,466.56,Yes,1,71.6,High Risk,38.88
CUST0069,Female,No,Yes,No,36,25-48 Months,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,31.7,Low (< £35),1,1141.2,380.4,Yes,1,5.3,Low Risk,0.0
CUST0070,Female,No,Yes,No,55,49+ Months,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,111.83,Premium (£85+),4,6150.65,1341.96,No,0,,Low Risk,0.0
CUST0071,Female,No,No,No,13,13-24 Months,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,24.84,Low (< £35),1,322.92,298.08,No,0,,Low Risk,0.0
CUST0072,Male,Yes,No,Yes,37,25-48 Months,3,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer,109.76,Premium (£85+),4,4061.12,1317.12,No,0,,Low Risk,0.0
CUST0073,Female,No,Yes,Yes,47,25-48 Months,3,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,89.05,Premium (£85+),4,4185.35,1068.6,No,0,,Low Risk,0.0
CUST0074,Male,Yes,No,Yes,71,49+ Months,4,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,60.47,Medium (£35-65),2,4293.37,725.64,No,0,18.9,Low Risk,0.0
CUST0075,Female,Yes,Yes,Yes,22,13-24 Months,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,38.72,Medium (£35-65),2,851.84,464.64,Yes,1,66.3,Medium Risk,0.0
CUST0076,Female,Yes,No,No,39,25-48 Months,3,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Mailed check,51.05,Medium (£35-65),2,1990.95,612.6,No,0,21.1,Low Risk,0.0
CUST0077,Female,No,No,No,58,49+ Months,4,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card,72.99,High (£65-85),3,4233.42,875.88,No,0,,Low Risk,0.0
CUST0078,Male,Yes,Yes,Yes,30,25-48 Months,3,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card,85.69,Premium (£85+),4,2570.7,1028.28,No,0,,Low Risk,0.0
CUST0079,Female,Yes,Yes,No,18,13-24 Months,2,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,89.15,Premium (£85+),4,1604.7,1069.8,No,0,40.0,Medium Risk,0.0
CUST0080,Male,No,Yes,Yes,18,13-24 Months,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,64.73,Medium (£35-65),2,1165.14,776.76,No,0,,Low Risk,0.0
CUST0081,Female,No,No,Yes,39,25-48 Months,3,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer,57.4,Medium (£35-65),2,2238.6,688.8,No,0,,Low Risk,0.0
CUST0082,Male,Yes,Yes,No,26,25-48 Months,3,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,96.83,Premium (£85+),4,2517.58,1161.96,No,0,36.8,Low Risk,0.0
CUST0083,Female,Yes,Yes,No,71,49+ Months,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Bank transfer,112.54,Premium (£85+),4,7990.34,1350.48,No,0,,Low Risk,0.0
CUST0084,Male,No,No,No,7,0-12 Months,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,111.45,Premium (£85+),4,780.15,1337.4,No,0,26.3,Low Risk,0.0
CUST0085,Male,No,No,No,69,49+ Months,4,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,75.16,High (£65-85),3,5186.04,901.92,No,0,,Low Risk,0.0
CUST0086,Female,No,Yes,No,65,49+ Months,4,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,27.9,Low (< £35),1,1813.5,334.8,No,0,21.1,Low Risk,0.0
CUST0087,Male,Yes,Yes,No,46,25-48 Months,3,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,27.33,Low (< £35),1,1257.18,327.96,No,0,,Low Risk,0.0
CUST0088,Female,No,Yes,No,18,13-24 Months,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,60.28,Medium (£35-65),2,1085.04,723.36,Yes,1,,Low Risk,0.0
CUST0089,Female,No,Yes,Yes,13,13-24 Months,2,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,93.29,Premium (£85+),4,1212.77,1119.48,No,0,49.5,Medium Risk,0.0
CUST0090,Female,No,No,No,25,25-48 Months,3,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,69.73,High (£65-85),3,1743.25,836.76,No,0,10.5,Low Risk,0.0
CUST0091,Female,Yes,No,Yes,8,0-12 Months,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Bank transfer,82.74,High (£65-85),3,661.92,992.88,No,0,,Low Risk,0.0
CUST0092,Female,No,Yes,Yes,32,25-48 Months,3,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,104.33,Premium (£85+),4,3338.56,1251.96,Yes,1,70.5,High Risk,104.33
CUST0093,Female,No,Yes,No,17,13-24 Months,2,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer,24.03,Low (< £35),1,408.51,288.36,No,0,,Low Risk,0.0
CUST0094,Female,No,Yes,Yes,48,25-48 Months,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,112.38,Premium (£85+),4,5394.24,1348.56,No,0,,Low Risk,0.0
CUST0095,Female,No,No,No,63,49+ Months,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,53.09,Medium (£35-65),2,3344.67,637.08,No,0,,Low Risk,0.0
CUST0096,Female,No,Yes,Yes,40,25-48 Months,3,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer,24.68,Low (< £35),1,987.2,296.16,No,0,,Low Risk,0.0
CUST0097,Female,Yes,Yes,Yes,15,13-24 Months,2,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,103.54,Premium (£85+),4,1553.1,1242.48,No,0,61.1,Medium Risk,0.0
CUST0098,Female,Yes,No,Yes,6,0-12 Months,1,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer,113.42,Premium (£85+),4,680.52,1361.04,No,0,,Low Risk,0.0
CUST0099,Male,Yes,No,No,63,49+ Months,4,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,96.86,Premium (£85+),4,6102.18,1162.32,Yes,1,78.9,High Risk,96.86
CUST0100,Male,No,Yes,Yes,8,0-12 Months,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,100.45,Premium (£85+),4,803.6,1205.4,No,0,60.0,Medium Risk,0.0
CUST0101,Female,Yes,Yes,Yes,32,25-48 Months,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,107.13,Premium (£85+),4,3428.16,1285.56,No,0,,Low Risk,0.0
CUST0102,Female,Yes,No,Yes,45,25-48 Months,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,72.24,High (£65-85),3,3250.8,866.88,No,0,,Low Risk,0.0
CUST0103,Female,Yes,Yes,No,52,49+ Months,4,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer,88.05,Premium (£85+),4,4578.6,1056.6,No,0,,Low Risk,0.0
CUST0104,Female,No,Yes,Yes,13,13-24 Months,2,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card,48.65,Medium (£35-65),2,632.45,583.8,Yes,1,,Low Risk,0.0
CUST0105,Female,No,No,No,24,13-24 Months,2,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Mailed check,44.97,Medium (£35-65),2,1079.28,539.64,No,0,38.9,Low Risk,0.0
CUST0106,Female,Yes,No,Yes,40,25-48 Months,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,80.89,High (£65-85),3,3235.6,970.68,No,0,,Low Risk,0.0
CUST0107,Female,Yes,No,Yes,14,13-24 Months,2,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.46,Premium (£85+),4,1308.44,1121.52,No,0,71.6,High Risk,93.46
CUST0108,Female,No,Yes,Yes,70,49+ Months,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,59.71,Medium (£35-65),2,4179.7,716.52,No,0,,Low Risk,0.0
CUST0109,Male,No,No,No,62,49+ Months,4,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,60.03,Medium (£35-65),2,3721.86,720.36,Yes,1,60.0,Medium Risk,0.0
CUST0110,Female,Yes,No,Yes,61,49+ Months,4,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,115.42,Premium (£85+),4,7040.62,1385.04,Yes,1,57.9,Medium Risk,0.0
CUST0111,Male,No,Yes,Yes,1,0-12 Months,1,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card,71.85,High (£65-85),3,71.85,862.2,Yes,1,,Low Risk,0.0
CUST0112,Female,Yes,Yes,Yes,66,49+ Months,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,118.63,Premium (£85+),4,7829.58,1423.56,No,0,,Low Risk,0.0
CUST0113,Female,No,No,Yes,32,25-48 Months,3,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card,106.28,Premium (£85+),4,3400.96,1275.36,No,0,,Low Risk,0.0
CUST0114,Male,Yes,No,No,13,13-24 Months,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,83.97,High (£65-85),3,1091.61,1007.64,Yes,1,52.6,Medium Risk,0.0
CUST0115,Female,Yes,Yes,Yes,33,25-48 Months,3,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,20.91,Low (< £35),1,690.03,250.92,Yes,1,71.6,High Risk,20.91
CUST0116,Male,No,Yes,Yes,32,25-48 Months,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,49.59,Medium (£35-65),2,1586.88,595.08,No,0,5.3,Low Risk,0.0
